[Thu Sep 27 15:22:53.857030 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP Fatal error:  Constant expression contains invalid operations in /var/www/html/bookshelf/app/Http/Controllers/BookController.php on line 12, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857092 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP Stack trace:, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857106 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   1. {main}() /var/www/html/bookshelf/public/index.php:0, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857113 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   2. App\\Http\\Kernel->handle() /var/www/html/bookshelf/public/index.php:55, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857118 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   3. App\\Http\\Kernel->sendRequestThroughRouter() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857124 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   4. Illuminate\\Routing\\Pipeline->then() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857130 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857136 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857142 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   7. App\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857147 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:62, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857153 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP   9. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857158 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857163 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857168 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  12. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857174 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  13. App\\Http\\Middleware\\TrimStrings->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857185 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:31, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857191 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  15. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857196 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  16. Illuminate\\Foundation\\Http\\Middleware\\ConvertEmptyStringsToNull->handle() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:151, referer: http://dev.bookshelf.com/admin/accounts
